time_s,channel,id,dlc,data
3.618187,B,0x3A0,8,00000000000001F0
3.618192,B,0x677,8,C022F4A078408902
3.618197,B,0x243,8,0244091106100000
3.618203,B,0x384,8,0000000000000000
3.618209,B,0x380,8,0000000000000000
3.618214,B,0x45A,8,A4C5C5C55F363255
3.618222,B,0x719,8,0D00000000000000
3.618227,B,0x7B5,3,000000
3.618233,B,0x7AA,8,C0EB8E3D00088829
3.618238,B,0x340,8,0200000010000000
3.618244,B,0x381,8,D5924B413C000001
3.618250,B,0x234,8,5EE10380430034D4
3.618256,B,0x7B5,3,010000
3.618261,B,0x7B5,3,020000
3.618266,B,0x7B5,3,030000
3.618271,B,0x428,6,000000100000
3.618277,B,0x379,8,0B0000000000190A
3.618282,B,0x79F,1,41
3.618288,B,0x4E3,8,75026A3102000000
3.618293,B,0x242,3,551586
3.618569,A,0x370,8,91FF080320152467
3.618694,A,0x2A8,8,029100000E80400B
3.619508,A,0x3FE,8,144000080000D02D
3.619532,B,0x261,8,7230FF07805823D1
3.619538,B,0x441,8,140687003200306C
3.619543,B,0x20E,2,1303
3.620508,A,0x261,8,7230FF07805823D1
3.620624,A,0x488,4,40140AEA
3.620645,B,0x132,6,A28CF2FF1B40
3.620650,B,0x3AE,8,144000080000D02D
3.620655,B,0x118,8,F461320000480000
3.620660,B,0x61D,8,030035B432AF0000
3.621515,A,0x108,8,190100020000000D
3.621714,A,0x111,8,300080FFF4FFA75B
3.621840,A,0x118,8,F461320000480000
3.621971,A,0x131,8,0A00FFFF054045C4
3.622000,B,0x266,8,0000012200008801
3.622005,B,0x6A2,5,0000000000
3.622010,B,0x257,8,73491F0002A00F01
3.622015,B,0x1D8,8,2900000000006062
3.622020,B,0x1E5,8,02AC0400000060F8
3.622025,B,0x201,8,01043801600381C4
3.622515,A,0x141,8,3600C8FFD8FF475D
3.622641,A,0x145,8,664B002FA4000200
3.622766,A,0x155,8,00000000AA03B0B3
3.622786,B,0x3FD,8,0200000000000080
3.622792,B,0x752,8,0B00000000000000
3.622797,B,0x129,8,9B221C200020FF3F
3.623508,A,0x175,8,000000000000B026
3.623633,A,0x185,8,000000000000B43A
3.623759,A,0x129,8,9B221C200020FF3F
3.623779,B,0x343,8,00935CBEB3008000
3.623784,B,0x139,1,00
3.624496,A,0x219,3,06799A
3.624517,B,0x263,8,0200000000000000
3.625416,B,0x360,8,0700000000000000
3.626511,A,0x051,3,92650A
3.626640,A,0x370,8,91FF080420152569
3.626752,A,0x240,2,BC7A
3.626775,B,0x78A,8,01000400DB049400
3.626780,B,0x241,7,2A2E9C8A0B4700
3.626785,B,0x682,8,000000400507D0D9
3.628083,A,0x257,8,73491F0002A00F01
3.628213,A,0x2E1,8,0297A7021B6C0000
3.628249,B,0x2E1,8,0297A7021B6C0000
3.628254,B,0x2C4,8,000000D200000000
3.629120,B,0x204,8,010000FF00000010
3.629133,B,0x264,6,2F000000A000
3.629150,B,0x3A2,8,2227008021000000
3.629155,B,0x142,8,2800026000000100
3.629403,B,0x224,8,0408004819011008
3.630511,A,0x031,3,BB5502
3.630636,A,0x3C3,8,00000000004540F5
3.630758,A,0x2B5,6,15060E0E1F01
3.630778,B,0x22B,8,FFFFFFFFFFFFFFFF
3.630783,B,0x2B4,6,15060E0E1F01
3.630788,B,0x132,6,A28CF3FF1F40
3.630794,B,0x3C3,8,00000000004540F5
3.630799,B,0x3E3,4,04000000
3.630804,B,0x401,8,112A588258825782
3.631508,A,0x131,8,06000400014055D2
3.631633,A,0x118,8,F562320000480000
3.631658,B,0x37A,8,7BE0010000000000
3.631663,B,0x118,8,F562320000480000
3.631668,B,0x1D8,8,2900000000008082
3.631673,B,0x266,8,0000012200008801
3.632508,A,0x141,8,3A00CDFF0000579F
3.632633,A,0x108,8,1A0200020000000D
3.632654,B,0x1E5,8,02AC040000000098
3.632659,B,0x102,8,22B38804964EA109
3.632664,B,0x2C1,8,0205060000D09201
3.632669,B,0x129,8,8C231C200020FF3F
3.633512,A,0x129,8,8C231C200020FF3F
3.633532,B,0x545,8,200240F0B2222B9B
3.634564,A,0x209,8,0BC6FFFFFFFFFF3F
3.634585,B,0x243,8,0300000006400300
3.635512,A,0x261,8,7B5816000040348B
3.635532,B,0x261,8,7B5816000040348B
3.636497,A,0x051,3,46660A
3.636622,A,0x311,8,0D000000E69C971C
3.636747,A,0x370,8,91FF080320152669
3.636768,B,0x553,8,000000000000E038
3.637486,B,0x2F1,8,0D00000000000000
3.637491,B,0x221,8,605455155451B197
3.638508,A,0x221,8,605455155451B197
3.638528,B,0x79F,1,41
3.638533,B,0x359,8,2500000000000000
3.639499,A,0x488,4,40140BEB
3.639519,B,0x122,8,0000129212000000
3.640496,A,0x031,3,6F5602
3.640622,A,0x118,8,F663320000480000
3.640747,A,0x052,8,91FF080320142668
3.640873,A,0x108,8,1903000200FFFF0D
3.640898,B,0x132,6,8F8CF2FF1E40
3.640904,B,0x118,8,F663320000480000
3.640909,B,0x266,8,0000012200008801
3.640914,B,0x257,8,744A1F0002A00F01
